_id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
696e85197c417649c9c85e9e,Male,44,1,28,0,> 2 Years,Yes,40454,26,217,1
696e85197c417649c9c85e9f,Male,76,1,3,0,1-2 Year,No,33536,26,183,0
696e85197c417649c9c85ea0,Male,47,1,28,0,> 2 Years,Yes,38294,26,27,1
696e85197c417649c9c85ea1,Male,21,1,11,1,< 1 Year,No,28619,152,203,0
696e85197c417649c9c85ea2,Female,29,1,41,1,< 1 Year,No,27496,152,39,0
696e85197c417649c9c85ea3,Female,24,1,33,0,< 1 Year,Yes,2630,160,176,0
696e85197c417649c9c85ea4,Male,23,1,11,0,< 1 Year,Yes,23367,152,249,0
696e85197c417649c9c85ea5,Female,56,1,28,0,1-2 Year,Yes,32031,26,72,1
696e85197c417649c9c85ea6,Female,24,1,3,1,< 1 Year,No,27619,152,28,0
696e85197c417649c9c85ea7,Female,32,1,6,1,< 1 Year,No,28771,152,80,0
696e85197c417649c9c85ea8,Female,47,1,35,0,1-2 Year,Yes,47576,124,46,1
696e85197c417649c9c85ea9,Female,24,1,50,1,< 1 Year,No,48699,152,289,0
696e85197c417649c9c85eaa,Female,41,1,15,1,1-2 Year,No,31409,14,221,0
696e85197c417649c9c85eab,Male,76,1,28,0,1-2 Year,Yes,36770,13,15,0
696e85197c417649c9c85eac,Male,71,1,28,1,1-2 Year,No,46818,30,58,0
696e85197c417649c9c85ead,Male,37,1,6,0,1-2 Year,Yes,2630,156,147,1
696e85197c417649c9c85eae,Female,25,1,45,0,< 1 Year,Yes,26218,160,256,0
696e85197c417649c9c85eaf,Female,25,1,35,1,< 1 Year,No,46622,152,299,0
696e85197c417649c9c85eb0,Male,42,1,28,0,1-2 Year,Yes,33667,124,158,0
696e85197c417649c9c85eb1,Female,60,1,33,0,1-2 Year,Yes,32363,124,102,1
696e85197c417649c9c85eb2,Male,65,1,28,0,1-2 Year,Yes,41184,124,116,0
696e85197c417649c9c85eb3,Male,49,1,28,0,1-2 Year,Yes,50791,124,177,0
696e85197c417649c9c85eb4,Male,23,1,50,1,< 1 Year,No,45283,152,232,0
696e85197c417649c9c85eb5,Male,44,1,28,0,1-2 Year,Yes,41852,163,60,0
696e85197c417649c9c85eb6,Male,34,1,15,1,1-2 Year,No,38111,152,180,0
696e85197c417649c9c85eb7,Female,21,1,28,1,< 1 Year,No,61964,152,72,0
696e85197c417649c9c85eb8,Female,51,1,28,0,1-2 Year,Yes,38341,124,49,1
696e85197c417649c9c85eb9,Male,26,1,6,1,< 1 Year,No,19135,152,57,0
696e85197c417649c9c85eba,Female,25,1,8,1,< 1 Year,No,27946,152,223,0
696e85197c417649c9c85ebb,Male,57,1,11,0,1-2 Year,Yes,25679,157,232,1
696e85197c417649c9c85ebc,Female,26,1,8,0,< 1 Year,No,2630,160,136,0
696e85197c417649c9c85ebd,Male,79,1,28,0,1-2 Year,Yes,57444,26,222,0
696e85197c417649c9c85ebe,Female,48,1,28,0,1-2 Year,Yes,36951,122,149,0
696e85197c417649c9c85ebf,Female,24,1,36,0,< 1 Year,Yes,43129,152,49,0
696e85197c417649c9c85ec0,Female,32,1,30,1,< 1 Year,No,27638,152,169,0
696e85197c417649c9c85ec1,Male,41,1,36,1,1-2 Year,No,30039,124,88,0
696e85197c417649c9c85ec2,Male,71,1,8,1,1-2 Year,No,40903,19,253,0
